timestamp,sm_ch1,sm_ch2,sm_ch3,sm_ch4,sm_ch5,sm_ch6,sm_ch7,sm_ch8,st_ch1,st_ch2
"1693558335","63.0000","61.0000","61.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.7000","70.9000"
"1693558396","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.7000","70.9000"
"1693558457","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.7000","70.9000"
"1693558518","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.9000","70.9000"
"1693558579","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.7000","70.9000"
"1693558640","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.7000","70.7000"
"1693558701","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.9000","70.7000"
"1693558762","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","51.0000","57.9000","70.7000"
"1693558823","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.7000"
"1693558884","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.7000"
"1693558945","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.7000"
"1693559006","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.9000"
"1693559067","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.7000"
"1693559128","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.9000"
"1693559189","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.9000"
"1693559250","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.9000"
"1693559250","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.9000"
"1693559311","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","58.1000","70.9000"
"1693559372","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.9000"
"1693559433","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.7000"
"1693559494","63.0000","61.0000","60.0000","47.0000","81.0000","46.0000","28.0000","50.0000","57.9000","70.7000"
